pais_id,año,basura_id,cantidad
Northern Mariana,2023,b10,554
Islands,2023,b10,0
no,2023,b10,11
pk,2023,b10,2
pa,2023,b10,658
pe,2023,b10,3
ph,2023,b10,108
pl,2023,b10,54
pt,2023,b10,583
pr,2023,b10,28
Saba,2023,b10,3
ws,2023,b10,20
sa,2023,b10,92
sc,2023,b10,765
sl,2023,b10,0
sg,2023,b10,777
Sint Eustatius,2023,b10,235
Sint Maarten,2023,b10,122
si,2023,b10,184
sb,2023,b10,206
za,2023,b10,176
kr,2023,b10,2
es,2023,b10,3
lk,2023,b10,3
St Kitts & Nevis,2023,b10,1
St Lucia,2023,b10,1
St Vincent and the Grenadines,2023,b10,190
se,2023,b10,0
ch,2023,b10,86
tw,2023,b10,26
tz,2023,b10,1
th,2023,b10,15
Tonga,2023,b10,87
tt,2023,b10,13
tr,2023,b10,87
U.S. Virgin Islands,2023,b10,2
ug,2023,b10,32
ae,2023,b10,993
gb,2023,b10,2
us,2023,b10,165
uy,2023,b10,16
vu,2023,b10,104
ve,2023,b10,35
vn,2023,b10,885
Wallis and Futuna,2023,b10,116
ax,2022,b10,0
ao,2022,b10,2
ag,2022,b10,33
au,2022,b10,1
bs,2022,b10,1
bd,2022,b10,6
bb,2022,b10,5
bz,2022,b10,5
Bermuda,2022,b10,2
Bonaire,2022,b10,129
br,2022,b10,512
vg,2022,b10,596
bn,2022,b10,187
cm,2022,b10,2
ca,2022,b10,13
ky,2022,b10,1
cl,2022,b10,6
cn,2022,b10,198
co,2022,b10,359
cr,2022,b10,101
hr,2022,b10,0
Curaçao,2022,b10,533
cy,2022,b10,9
do,2022,b10,160
ec,2022,b10,11
eg,2022,b10,5
fi,2022,b10,0
fr,2022,b10,209
gm,2022,b10,0
de,2022,b10,46
gh,2022,b10,2
gr,2022,b10,12
Guam,2022,b10,1
Guernsey,2022,b10,15
hk,2022,b10,1
is,2022,b10,39
in,2022,b10,73
id,2022,b10,177
ie,2022,b10,1
il,2022,b10,70
it,2022,b10,355
jm,2022,b10,49
jp,2022,b10,5
ke,2022,b10,26
kw,2022,b10,0
my,2022,b10,19
Maldives,2022,b10,1
Malta,2022,b10,0
mr,2022,b10,0
Mauritius,2022,b10,428
mx,2022,b10,15
ma,2022,b10,0
nl,2022,b10,92
nz,2022,b10,0
ni,2022,b10,1
ng,2022,b10,3
Northern Mariana Islands,2022,b10,424
no,2022,b10,926
om,2022,b10,12
pa,2022,b10,2
pe,2022,b10,14
ph,2022,b10,88
pl,2022,b10,1
pt,2022,b10,1
pr,2022,b10,23
ro,2022,b10,0
ws,2022,b10,354
sc,2022,b10,782
sl,2022,b10,124
sg,2022,b10,1
Sint Eustatius,2022,b10,0
Sint Maarten,2022,b10,976
sb,2022,b10,600
za,2022,b10,769
kr,2022,b10,6
es,2022,b10,4
lk,2022,b10,6
St Kitts & Nevis,2022,b10,126
St Lucia,2022,b10,304
St Vincent and the Grenadines,2022,b10,255
se,2022,b10,5
tw,2022,b10,23
tz,2022,b10,3
th,2022,b10,3
tt,2022,b10,4
tr,2022,b10,51
U.S. Virgin Islands,2022,b10,2
ug,2022,b10,1
ae,2022,b10,1
gb,2022,b10,7
us,2022,b10,252
uy,2022,b10,11
vu,2022,b10,343
ve,2022,b10,25
vn,2022,b10,1
Wallis and Futuna,2022,b10,77
dz,2021,b10,0
American ws,2021,b10,493
ag,2021,b10,34
ar,2021,b10,93
Aruba,2021,b10,0
au,2021,b10,33
az,2021,b10,0
bd,2021,b10,1
bz,2021,b10,441
Bermuda,2021,b10,25
Bonaire,2021,b10,51
br,2021,b10,2
vg,2021,b10,122
bg,2021,b10,0
kh,2021,b10,5
cm,2021,b10,0
ca,2021,b10,22
cl,2021,b10,8
cn,2021,b10,2
co,2021,b10,2
cr,2021,b10,31
hr,2021,b10,83
cy,2021,b10,78
cz,2021,b10,0
dk,2021,b10,0
do,2021,b10,92
ec,2021,b10,10
eg,2021,b10,1
sv,2021,b10,7
fi,2021,b10,0
fr,2021,b10,261
de,2021,b10,776
gh,2021,b10,0
gr,2021,b10,8
Guam,2021,b10,124
gt,2021,b10,57
gy,2021,b10,320
hk,2021,b10,310
hu,2021,b10,0
is,2021,b10,0
in,2021,b10,77
id,2021,b10,382
ir,2021,b10,0
ie,2021,b10,1
il,2021,b10,5
it,2021,b10,600
jm,2021,b10,28
jp,2021,b10,3
kz,2021,b10,0
ke,2021,b10,4
mg,2021,b10,0
my,2021,b10,2
Mauritius,2021,b10,626
mx,2021,b10,104
mn,2021,b10,0
mz,2021,b10,699
np,2021,b10,2
nl,2021,b10,70
nz,2021,b10,3
ni,2021,b10,7
ng,2021,b10,1
Northern Mariana Islands,2021,b10,515
no,2021,b10,6
pk,2021,b10,1
pa,2021,b10,2
pe,2021,b10,2
ph,2021,b10,3
pl,2021,b10,0
pt,2021,b10,152
pr,2021,b10,34
ro,2021,b10,0
ru,2021,b10,76
ws,2021,b10,1
sa,2021,b10,0
sn,2021,b10,3
sc,2021,b10,783
sl,2021,b10,0
sg,2021,b10,705
Sint Maarten,2021,b10,383
si,2021,b10,151
za,2021,b10,3
kr,2021,b10,3
es,2021,b10,4
lk,2021,b10,13
St Kitts & Nevis,2021,b10,27
St Lucia,2021,b10,577
se,2021,b10,0
ch,2021,b10,0
tw,2021,b10,20
tz,2021,b10,4
th,2021,b10,3
The Bahamas,2021,b10,589
Tonga,2021,b10,0
tt,2021,b10,104
tr,2021,b10,237
U.S. Virgin Islands,2021,b10,3
ua,2021,b10,0
ae,2021,b10,1
gb,2021,b10,8
Channel Islands,2021,b10,20
England,2021,b10,5
Northern Ireland,2021,b10,359
Scotland,2021,b10,1
Whales,2021,b10,730
us,2021,b10,224
uy,2021,b10,484
vu,2021,b10,606
ve,2021,b10,6
vn,2021,b10,0
Wallis and Futuna,2021,b10,0
Location Not Recorded,2021,b10,21
ax,2020,b10,0
ag,2020,b10,548
ar,2020,b10,0
Aruba,2020,b10,0
au,2020,b10,20
at,2020,b10,0
bd,2020,b10,560
bb,2020,b10,6
bz,2020,b10,174
Bermuda,2020,b10,1
Bonaire,2020,b10,61
br,2020,b10,185
vg,2020,b10,20
bn,2020,b10,400
bi,2020,b10,0
cm,2020,b10,12
