País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Guernsey;2022;57;53,0;1,1;584;24;4;15;19;1;11;;;;;3;1
Hong Kong;2022;25.549;170.097,0;185,7;26.790;2.513;803;1.270;1.251;515;964;613;;;;718;227
Iceland;2022;69;15.705,0;76,6;19.087;33;39;39;70;54;31;105;;;;91;14
India;2022;1.556;10.001,0;16,4;1.067;30;76;73;100;39;27;62;;;;39;28
Indonesia;2022;687;4.001,0;23,0;13.327;25;395;177;2.025;937;1.583;318;;;;247;13
Ireland;2022;10.334;62.004,0;1.090,0;407.129;4.059;1.708;1.433;2.587;214;511;561;;;;964;692
Israel;2022;105;118,0;2,4;2.759;78;113;70;289;439;111;16;;;;50;24
Italy;2022;440;3.995,0;9,2;10.578;965;104;355;458;50;87;179;;;;32;17
Jamaica;2022;6.250;34.894,0;229,5;421.967;3.218;138.458;49.349;15.993;4.062;13.048;2.618;;;;11.304;6.801
Japan;2022;3.827;6.309,0;117,4;127.879;6.214;5.491;5.613;5.354;1.188;2.872;1.155;;;;4.938;198
Kenya;2022;4.231;23.875,0;123,8;382.936;58.023;50.671;26.682;73.705;2.625;10.777;5.531;;;;8.804;864
Kuwait;2022;40;1.500,0;1,0;20;—;—;—;—;—;—;—;;;;;
Malaysia;2022;16.547;41.649,0;756,5;447.550;62.905;59.947;19.723;21.008;23.097;16.970;14.736;;;;17.672;7.710
Maldives;2022;18;1,0;0,7;12;1;1;1;;;1;;;;;0;1
Malta;2022;25;2,0;4,6;10.034;9.773;2;;;;;;;;;0;0
Mauritania;2022;100;141,0;0,2;—;—;—;—;—;—;—;—;;;;;
Mauritius;2022;290;350,0;2,7;5.278;361;444;428;247;182;259;43;;;;161;264
Mexico;2022;5.367;23.280,0;243,8;431.540;275.078;10.679;15.837;4.711;4.015;5.484;2.425;;;;2.296;1.438
Morocco;2022;1.881;22.006,0;52,6;5;5;—;—;—;—;—;—;;;;;
Netherlands;2022;106;186,0;3,4;4.444;805;31;92;633;59;38;8;;;;24;1
New Zealand;2022;13;163,0;0,6;2;—;—;—;—;—;—;—;;;;;
Nicaragua;2022;141;536,0;1,9;23.649;77;3.566;1.268;796;413;75;154;;;;350;321
Nigeria;2022;205;3.014,0;42,3;39.336;83;5.029;3.019;2.758;1.360;1.948;489;;;;345;1.142
Northern Mariana Islands;2022;1.707;2.785,0;63,3;20.005;2.746;933;424;1.072;460;713;170;;;;266;210
Norway;2022;18.429;251.029,0;1.213,7;32.138;3.246;1.438;926;1.535;533;191;231;;;;352;80
Oman;2022;8;266,0;0,2;1.996;9;537;12;3;274;131;3;;;;9;3
Panama;2022;1.411;3.831,0;58,4;31.009;147;5.264;2.935;841;716;792;161;;;;929;340
